LCI|LCS
1.899326117819399|14.601128372210898
3.5369625171110872|14.403287716610675
1.4880644505100298|13.929513727019849
3.1210081415368425|14.426326508815906
2.848413740075328|12.995295938852834
1.0938365004933326|12.274411956513763
3.877122697293376|14.281690178230864
4.305437346314972|13.996511859814955
-0.7393222122455629|10.933624834678147
3.311182361029103|12.50044917144309
3.830427719275937|12.351014507857025
3.0151709674912075|12.03302680532099
3.417190223921411|12.624823898578393
2.5565802643476925|13.61112470143354
2.945272902286524|13.797390664351175
2.7986079900074508|13.866001972561833
4.692699719240146|14.035517894733324
3.2725301697296576|13.888226903421428
2.1774569462546367|12.685146050892213
1.614772416064386|12.485721904764574
2.1729847027011946|12.333460344405063
3.0488318978087676|14.366078213304302
2.1903240524151038|12.257586187567814
2.8717497567223713|13.368427039649005
1.9046946117968595|11.597090646034005
3.5402387277187684|13.251836341231023
2.0785214277224053|12.793844117982692
3.7177684761047374|13.299666376772187
5.333506607442114|14.254542671769421
3.7809193177841607|14.113261238500602
5.442560899427341|14.21939776202997
4.595486750509256|14.309248469438828
4.459376998968389|13.821588299830513
3.9640354747938265|13.512255942485206
4.871030754197572|13.540713063965132
4.756935166906173|13.388397870247525
2.934903156137426|13.762400049056534
3.499661654766438|13.259443639261143
3.5292436030894168|14.296229996416749
4.661683140356854|13.07535356891054
5.422990280469201|13.995176768046477
5.119667521169487|13.977333596039063
5.2026596978128055|13.720253033337492
4.7834605472151495|14.043338780717722
5.0802272122155685|14.215045954425914
5.16363982208796|13.902757005570349
2.6047254412568126|13.45786982941789
3.311508074248672|13.115921398673745
3.8902031361773375|14.236110024356709
3.820403497960883|13.22421146585576
3.382774422436234|13.94305636107844
2.92875597427364|13.46010966042716
3.7544782538108254|13.139533828598742
2.6299578331335596|13.08373669247677
